Timing info

         851863 function calls (849405 primitive calls) in 22.520 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1770(<genexpr>)
       29    0.000    0.000    0.000    0.000 _methods.py:40(_all)
        1    0.000    0.000    0.000    0.000 doccer.py:153(filldoc)
       13    0.000    0.000    0.000    0.000 utils.py:40(__call__)
      132    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      258    0.000    0.000    0.000    0.000 signaltools.py:57(_bvalfromboundary)
        1    0.000    0.000    0.000    0.000 doccer.py:179(unindent_dict)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:1022(Arrow)
        8    0.000    0.000    0.000    0.000 numeric.py:1406(cross)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2324(setResultsName)
       33    0.000    0.000    0.000    0.000 posixpath.py:61(join)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2471(__init__)
        9    0.000    0.000    0.000    0.000 inspect.py:845(formatargspec)
       14    0.000    0.000    0.000    0.000 genericpath.py:46(isdir)
        1    0.000    0.000    0.000    0.000 _monotone.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        1    0.000    0.000    0.000    0.000 lobpcg.py:11(<module>)
        1    0.000    0.000    0.000    0.000 anneal.py:4(<module>)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
      200    0.000    0.000    0.000    0.000 colors.py:363(<genexpr>)
      204    0.000    0.000    0.000    0.000 _distn_infrastructure.py:704(<genexpr>)
        2    0.000    0.000    0.000    0.000 coo.py:241(_check)
       12    0.000    0.000    0.000    0.000 fontconfig_pattern.py:141(_family)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        4    0.000    0.000    0.000    0.000 compressed.py:126(check_format)
        9    0.000    0.000    0.000    0.000 doccer.py:187(unindent_string)
     19/7    0.000    0.000    0.000    0.000 pyparsing.py:2647(streamline)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        1    0.000    0.000    0.000    0.000 util.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:6(<module>)
       13    0.000    0.000    0.000    0.000 function_base.py:550(asarray_chkfinite)
        1    0.000    0.000    0.000    0.000 validation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_macosx.py:275(FigureCanvasMac)
       26    0.000    0.000    0.000    0.000 numerictypes.py:233(bitname)
        1    0.000    0.000    0.000    0.000 Queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyint.py:1(<module>)
       16    0.000    0.000    0.000    0.000 re.py:143(search)
       41    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
        1    0.000    0.000    0.000    0.000 gridspec.py:15(<module>)
      108    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
       81    0.000    0.000    0.000    0.000 cbook.py:672(iterable)
        8    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
       90    0.000    0.000    0.000    0.000 six.py:575(iteritems)
      514    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 streamplot.py:4(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.000    0.000 figure.py:237(Figure)
        1    0.000    0.000    0.000    0.000 pool.py:535(ApplyResult)
        1    0.000    0.000    0.000    0.000 bayes.py:3(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7290(__init__)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 forking.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:343(__init__)
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mlab.py:2049(FIFOBuffer)
        1    0.000    0.000    0.000    0.000 passive_aggressive.py:4(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:964(_register_types)
       19    0.000    0.000    0.000    0.000 rcsetup.py:42(__init__)
        2    0.000    0.000    0.000    0.000 numeric.py:2156(allclose)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
      129    0.000    0.000    0.000    0.000 Queue.py:218(_init)
      136    0.000    0.000    0.000    0.000 pyparsing.py:938(preParse)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
       78    0.000    0.000    0.000    0.000 collections.py:363(<genexpr>)
        2    0.000    0.000    0.000    0.000 numeric.py:1782(indices)
        1    0.000    0.000    0.000    0.000 connection.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _numpy_compat.py:3(<module>)
       11    0.000    0.000    0.000    0.000 sputils.py:132(get_index_dtype)
        1    0.000    0.000    0.000    0.000 multiclass.py:8(<module>)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
       23    0.000    0.000    0.000    0.000 sre_parse.py:227(isname)
        8    0.000    0.000    0.000    0.000 core.py:7295(getdoc)
        2    0.000    0.000    0.000    0.000 six.py:191(load_module)
        1    0.000    0.000    0.000    0.000 variance_threshold.py:4(<module>)
       48    0.000    0.000    0.000    0.000 rcsetup.py:279(validate_stringlist)
        2    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        6    0.000    0.000    0.000    0.000 contextlib.py:21(__exit__)
      108    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
        1    0.000    0.000    0.000    0.000 csr.py:155(tocsc)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1807(Regex)
       61    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
        1    0.000    0.000    0.000    0.000 blocking_input.py:23(<module>)
        3    0.000    0.000    0.000    0.000 genericpath.py:34(isfile)
        1    0.000    0.000    0.000    0.000 theil_sen.py:4(<module>)
        1    0.000    0.000    0.000    0.000 numpy_pickle.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 linear_assignment_.py:5(<module>)
        4    0.000    0.000    0.000    0.000 {posix.unlink}
        1    0.000    0.000    0.000    0.000 selem.py:4(<module>)
       54    0.000    0.000    0.000    0.000 pyplot.py:2404(_autogen_docstring)
        1    0.000    0.000    0.000    0.000 decimal.py:505(Decimal)
       11    0.000    0.000    0.000    0.000 decorator.py:134(update)
        1    0.000    0.000    0.000    0.000 fractions.py:44(Fraction)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:913(__init__)
      147    0.000    0.000    0.000    0.000 inspect.py:51(ismodule)
        1    0.000    0.000    0.000    0.000 format_stack.py:12(<module>)
      279    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
      426    0.000    0.000    0.000    0.000 {method 'lower' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 stats.py:1(<module>)
      147    0.000    0.000    0.000    0.000 colorlabel.py:21(<genexpr>)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:610(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 sysconfig.py:50(_python_build)
        1    0.000    0.000    0.000    0.000 mathtext.py:2042(Parser)
        1    0.000    0.000    0.000    0.000 trirefine.py:3(<module>)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2809(__init__)
        4    0.000    0.000    0.000    0.000 polynomial.py:1038(__init__)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 spines.py:1(<module>)
      519    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       81    0.000    0.000    0.000    0.000 six.py:139(__init__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3031(__init__)
        1    0.000    0.000    0.000    0.000 kdtree.py:174(KDTree)
       17    0.000    0.000    0.000    0.000 pyparsing.py:1859(__str__)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 path.py:31(Path)
      203    0.000    0.000    0.000    0.000 utils.py:64(__init__)
        1    0.000    0.000    0.000    0.000 pydoc.py:1601(Helper)
        3    0.000    0.000    0.000    0.000 decimal.py:3783(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1090(__init__)
        1    0.000    0.000    0.000    0.000 text.py:1478(_AnnotationBase)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2586(MaskedArray)
        1    0.000    0.000    0.000    0.000 fit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 interpolation.py:31(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:552(_get_xdg_config_dir)
       18    0.000    0.000    0.000    0.000 data.py:85(_create_method)
        1    0.000    0.000    0.000    0.000 _ode.py:950(dopri5)
        1    0.000    0.000    0.000    0.000 decomp_lu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ffiplatform.py:1(<module>)
        1    0.000    0.000    0.000    0.000 grey.py:3(<module>)
        1    0.000    0.000    0.000    0.000 cm.py:166(ScalarMappable)
       91    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:340(__init__)
        1    0.000    0.000    0.000    0.000 _multivariate.py:697(__init__)
        1    0.000    0.000    0.000    0.000 exposure.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {scipy.stats._rank.rankdata}
       13    0.000    0.000    0.000    0.000 pyparsing.py:885(setParseAction)
       13    0.000    0.000    0.000    0.000 blas.py:182(find_best_blas_type)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3378(<genexpr>)
        1    0.000    0.000    0.000    0.000 parser.py:247(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3120(delimitedList)
        1    0.000    0.000    0.000    0.000 six.py:662(exec_)
        2    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        6    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
       67    0.000    0.000    0.000    0.000 six.py:110(__init__)
       62    0.000    0.000    0.000    0.000 __init__.py:871(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:824(RcParams)
       10    0.000    0.000    0.000    0.000 misc.py:18(default_selem)
       12    0.000    0.000    0.000    0.000 numeric.py:2428(seterr)
      270    0.000    0.000    0.000    0.000 sre_parse.py:145(__setitem__)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.000    0.000 _warnings.py:1(<module>)
      128    0.000    0.000    0.000    0.000 {method 'split' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3376(<lambda>)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 relativedelta.py:2(<module>)
       16    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        1    0.000    0.000    0.000    0.000 common.py:4(<module>)
        1    0.000    0.000    0.000    0.000 dtype.py:1(<module>)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
        2    0.000    0.000    0.000    0.000 __init__.py:566(_get_xdg_cache_dir)
       67    0.000    0.000    0.000    0.000 core.py:5776(isMaskedArray)
        1    0.000    0.000    0.000    0.000 six.py:498(exec_)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
       53    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.000    0.000    0.000    0.000 polar.py:217(PolarAxes)
       99    0.000    0.000    0.000    0.000 {sys._getframe}
        1    0.000    0.000    0.000    0.000 _trustregion.py:1(<module>)
       18    0.000    0.000    0.000    0.000 cbook.py:53(_generate_deprecation_message)
        1    0.000    0.000    0.000    0.000 lines.py:188(Line2D)
       25    0.000    0.000    0.000    0.000 artist.py:33(allow_rasterization)
        1    0.000    0.000    0.000    0.000 _differentialevolution.py:4(<module>)
       10    0.000    0.000    0.000    0.000 posixpath.py:251(expanduser)
        1    0.000    0.000    0.000    0.000 quadrature.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
       11    0.000    0.000    0.000    0.000 metaestimators.py:72(<lambda>)
        1    0.000    0.000    0.000    0.000 _geometric.py:569(SimilarityTransform)
      221    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        7    0.000    0.000    0.000    0.000 parser.py:262(_convert)
        1    0.000    0.000    0.000    0.000 perceptron.py:4(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 _regionprops.py:108(_RegionProperties)
        1    0.000    0.000    0.000    0.000 axis.py:611(Axis)
       78    0.000    0.000    0.000    0.000 collections.py:361(<genexpr>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
        1    0.000    0.000    0.000    0.000 metaestimators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
       54    0.000    0.000    0.000    0.000 six.py:569(iterkeys)
        1    0.000    0.000    0.000    0.000 process.py:86(Process)
       77    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.000    0.000 numerictypes.py:459(_set_array_types)
        1    0.000    0.000    0.000    0.000 transforms.py:1959(IdentityTransform)
       21    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 mstats_basic.py:4(<module>)
        1    0.000    0.000    0.000    0.000 legend.py:106(Legend)
      100    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
       73    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      243    0.000    0.000    0.000    0.000 {iter}
        1    0.000    0.000    0.000    0.000 _structural_similarity.py:1(<module>)
      203    0.000    0.000    0.000    0.000 utils.py:47(_set_function_name)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2725(__init__)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        1    0.000    0.000    0.000    0.000 ransac.py:7(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 image.py:35(_AxesImageBase)
      109    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 numerictypes.py:289(_add_types)
        1    0.000    0.000    0.000    0.000 scale.py:521(get_scale_docs)
        6    0.000    0.000    0.000    0.000 numeric.py:2813(__enter__)
       10    0.000    0.000    0.000    0.000 {filter}
       47    0.000    0.000    0.000    0.000 docstring.py:48(update)
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
      198    0.000    0.000    0.000    0.000 _distn_infrastructure.py:668(<lambda>)
       28    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
      169    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       20    0.000    0.000    0.000    0.000 pyparsing.py:1749(parseImpl)
       19    0.000    0.000    0.000    0.000 dual.py:52(register_func)
        1    0.000    0.000    0.000    0.000 imputation.py:4(<module>)
        8    0.000    0.000    0.000    0.000 {sorted}
        1    0.000    0.000    0.000    0.000 pyparsing.py:789(ParserElement)
        1    0.000    0.000    0.000    0.000 locale.py:608(getpreferredencoding)
        5    0.000    0.000    0.000    0.000 JpegImagePlugin.py:59(APP)
        1    0.000    0.000    0.000    0.000 ndgriddata.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 text.py:1728(Annotation)
        1    0.000    0.000    0.000    0.000 os.py:475(update)
        1    0.000    0.000    0.000    0.000 tritools.py:3(<module>)
       11    0.000    0.000    0.000    0.000 metaestimators.py:24(__init__)
        1    0.000    0.000    0.000    0.000 special_matrices.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 draw3d.py:2(<module>)
        1    0.000    0.000    0.000    0.000 lock.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csc.py:1(<module>)
       82    0.000    0.000    0.000    0.000 pyparsing.py:2243(<genexpr>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 geo.py:251(AitoffAxes)
        1    0.000    0.000    0.000    0.000 threading.py:656(__init__)
       80    0.000    0.000    0.000    0.000 docstring.py:102(do_copy)
      326    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      612    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:486(__iadd__)
       65    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
       10    0.000    0.000    0.000    0.000 {numpy.core.multiarray.arange}
       56    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       25    0.000    0.000    0.000    0.000 os.py:472(__setitem__)
        3    0.000    0.000    0.000    0.000 locale.py:564(setlocale)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1296(AnnotationBbox)
        1    0.000    0.000    0.000    0.000 least_angle.py:465(Lars)
        3    0.000    0.000    0.000    0.000 _version.py:151(__ge__)
        1    0.000    0.000    0.000    0.000 rbf.py:44(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:2(<module>)
        9    0.000    0.000    0.000    0.000 pyparsing.py:1784(__str__)
       34    0.000    0.000    0.000    0.000 _binary.py:51(i16be)
        1    0.000    0.000    0.000    0.000 trifinder.py:1(<module>)
        2    0.000    0.000    0.000    0.000 sputils.py:26(upcast)
        1    0.000    0.000    0.000    0.000 dia.py:1(<module>)
        1    0.000    0.000    0.000    0.000 greyreconstruct.py:11(<module>)
        1    0.000    0.000    0.000    0.000 adapt_rgb.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:2125(identity)
        4    0.000    0.000    0.000    0.000 {_locale.setlocale}
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       23    0.000    0.000    0.000    0.000 __init__.py:303(report)
        2    0.000    0.000    0.000    0.000 _version.py:136(__lt__)
      554    0.000    0.000    0.000    0.000 {globals}
       24    0.000    0.000    0.000    0.000 random.py:273(choice)
       12    0.000    0.000    0.000    0.000 re.py:284(_subx)
      242    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
      179    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:6(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:36(Collection)
       18    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
       56    0.000    0.000    0.000    0.000 pyparsing.py:1592(parseImpl)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:1192(rv_continuous)
        1    0.000    0.000    0.000    0.000 base.py:4(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:691(_get_data_path_cached)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 grid_search.py:313(BaseSearchCV)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3353(<lambda>)
        1    0.000    0.000    0.000    0.000 classification.py:8(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 pyplot.py:1858(colormaps)
        6    0.000    0.000    0.000    0.000 core.py:1059(__init__)
        1    0.000    0.000    0.000    0.000 units.py:44(<module>)
       45    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       30    0.000    0.000    0.000    0.000 numerictypes.py:451(_add_array_type)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 optimize.py:10(<module>)
       10    0.000    0.000    0.000    0.000 getlimits.py:150(<lambda>)
        1    0.000    0.000    0.000    0.000 transforms.py:247(BboxBase)
        1    0.000    0.000    0.000    0.000 spines.py:21(Spine)
        1    0.000    0.000    0.000    0.000 locale.py:493(getdefaultlocale)
        1    0.000    0.000    0.000    0.000 geo.py:330(HammerAxes)
        1    0.000    0.000    0.000    0.000 rv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rfe.py:23(RFE)
        1    0.000    0.000    0.000    0.000 _constants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:1011(_tzparser)
        1    0.000    0.000    0.000    0.000 geo.py:510(LambertAxes)
        1    0.000    0.000    0.000    0.000 patches.py:2268(FancyBboxPatch)
        4    0.000    0.000    0.000    0.000 shape_base.py:8(atleast_1d)
        5    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
        1    0.000    0.000    0.000    0.000 new.py:5(<module>)
       72    0.000    0.000    0.000    0.000 pyparsing.py:171(__init__)
        1    0.000    0.000    0.000    0.000 lsmr.py:17(<module>)
       12    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
        1    0.000    0.000    0.000    0.000 twodim_base.py:190(eye)
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:346(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
      201    0.000    0.000    0.000    0.000 __init__.py:833(<genexpr>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:788(_construct_lookups)
       97    0.000    0.000    0.000    0.000 pyparsing.py:3376(<genexpr>)
        1    0.000    0.000    0.000    0.000 geo.py:23(GeoAxes)
        4    0.000    0.000    0.000    0.000 tempfile.py:48(_set_cloexec)
        1    0.000    0.000    0.000    0.000 from_model.py:4(<module>)
       57    0.000    0.000    0.000    0.000 inspect.py:838(strseq)
       52    0.000    0.000    0.000    0.000 pyparsing.py:318(__getitem__)
        1    0.000    0.000    0.000    0.000 {posix.listdir}
        1    0.000    0.000    0.000    0.000 patches.py:3801(FancyArrowPatch)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2095(__init__)
        5    0.000    0.000    0.000    0.000 fractions.py:280(_operator_fallbacks)
        1    0.000    0.000    0.000    0.000 geo.py:410(MollweideAxes)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1543(setName)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
       44    0.000    0.000    0.000    0.000 six.py:103(__init__)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_polar.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2818(__exit__)
      125    0.000    0.000    0.000    0.000 six.py:86(__init__)
       25    0.000    0.000    0.000    0.000 {posix.putenv}
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       76    0.000    0.000    0.000    0.000 rcsetup.py:103(validate_float)
        1    0.000    0.000    0.000    0.000 synchronize.py:110(__init__)
       21    0.000    0.000    0.000    0.000 numerictypes.py:220(_evalname)
        1    0.000    0.000    0.000    0.000 __init__.py:652(_get_data_path)
        4    0.000    0.000    0.000    0.000 six.py:85(__get__)
        8    0.000    0.000    0.000    0.000 {numpy.core.multiarray.result_type}
       64    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       14    0.000    0.000    0.000    0.000 numerictypes.py:970(find_common_type)
        5    0.000    0.000    0.000    0.000 six.py:157(_resolve)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2838(SkipTo)
       12    0.000    0.000    0.000    0.000 re.py:264(_compile_repl)
      128    0.000    0.000    0.000    0.000 sre_parse.py:221(isident)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
       45    0.000    0.000    0.000    0.000 rcsetup.py:54(__call__)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 synchronize.py:74(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:403(_getdecoder)
       28    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        2    0.000    0.000    0.000    0.000 ssl.py:304(__new__)
        2    0.000    0.000    0.000    0.000 locale.py:447(_parse_localename)
        1    0.000    0.000    0.000    0.000 construct.py:2(<module>)
        5    0.000    0.000    0.000    0.000 scale.py:488(get_scale_names)
        1    0.000    0.000    0.000    0.000 mstats_extras.py:4(<module>)
       17    0.000    0.000    0.000    0.000 pyparsing.py:840(setName)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        2    0.000    0.000    0.000    0.000 font_manager.py:979(__init__)
       70    0.000    0.000    0.000    0.000 pyparsing.py:366(__bool__)
       37    0.000    0.000    0.000    0.000 six.py:95(__init__)
       51    0.000    0.000    0.000    0.000 six.py:173(_add_module)
       12    0.000    0.000    0.000    0.000 getlimits.py:149(<lambda>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3215(_escapeRegexRangeChars)
        4    0.000    0.000    0.000    0.000 compressed.py:1044(prune)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
       80    0.000    0.000    0.000    0.000 docstring.py:100(copy)
        1    0.000    0.000    0.000    0.000 patches.py:720(RegularPolygon)
      187    0.000    0.000    0.000    0.000 pyparsing.py:1698(<genexpr>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:131(english_lower)
        1    0.000    0.000    0.000    0.000 patches.py:1063(FancyArrow)
       29    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       72    0.000    0.000    0.000    0.000 pyparsing.py:1431(setWhitespaceChars)
        6    0.000    0.000    0.000    0.000 decimal.py:514(__new__)
       87    0.000    0.000    0.000    0.000 pyparsing.py:1481(streamline)
        1    0.000    0.000    0.000    0.000 _iotools.py:468(StringConverter)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        2    0.000    0.000    0.000    0.000 numeric.py:141(ones)
        1    0.000    0.000    0.000    0.000 patches.py:1292(Ellipse)
        1    0.000    0.000    0.000    0.000 {posix.getcwd}
        1    0.000    0.000    0.000    0.000 disk.py:3(<module>)
        2    0.000    0.000    0.000    0.000 font_manager.py:983(make_rcparams_key)
        1    0.000    0.000    0.000    0.000 minres.py:1(<module>)
       14    0.000    0.000    0.000    0.000 UserDict.py:58(get)
      152    0.000    0.000    0.000    0.000 {method 'find' of 'unicode' objects}
      104    0.000    0.000    0.000    0.000 six.py:82(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
      120    0.000    0.000    0.000    0.000 rcsetup.py:47(func)
        4    0.000    0.000    0.000    0.000 {posix.access}
        8    0.000    0.000    0.000    0.000 nonlin.py:222(_set_doc)
        1    0.000    0.000    0.000    0.000 transforms.py:769(Bbox)
       79    0.000    0.000    0.000    0.000 docstring.py:121(copy_dedent)
        1    0.000    0.000    0.000    0.000 collections.py:775(PathCollection)
        2    0.000    0.000    0.000    0.000 compressed.py:987(sum_duplicates)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dual.py:12(<module>)
        1    0.000    0.000    0.000    0.000 {posix.getcwdu}
